Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Ktima Dyo Ipsi;Dialogos Kydonitsa-Assyrtiko;Bronze;89;Greece;Peloponnese;Ilia;2021;White
Esk Valley;Artisanal Collection Albariño;Bronze;89;New Zealand;Hawke's Bay;Not Applicable;2021;White
Schug;Chardonnay;Bronze;89;United States;California;Los Carneros;2021;White
Schug;Chardonnay;Bronze;87;United States;California;Sonoma Coast;2021;White
Schug;Pinot Noir;Bronze;86;United States;California;Sonoma Coast;2021;Red
Schug;Pinot Noir;Bronze;89;United States;California;Los Carneros;2021;Red
King Estate;Domaine Pinot Gris;Bronze;87;United States;Oregon;Willamette Valley;2021;White
King Estate;Pinot Gris;Bronze;88;United States;Oregon;Willamette Valley;2021;White
Nativ;Rue Dell'inchiostro Aglianico;Bronze;87;Italy;Campania;Campania;2021;Red
Le Clos Rouge;Alerte Rouge;Bronze;89;France;Languedoc-Roussillon;Languedoc Terrasses du Larzac;2021;Red
Viña Marchigue;Panul Reserva Especial Cabernet Sauvignon;Bronze;86;Chile;Colchagua;Not Applicable;2021;Red
Viña Marchigue;M Reserva Carménère;Bronze;87;Chile;Colchagua;Marchigue;2021;Red
Assuli;Arcodace Perricone;Bronze;87;Italy;Sicily;Sicilia;2021;Red
Herdade Da Comporta;Aaa;Bronze;89;Portugal;Peninsula de Setúbal;Not Applicable;2021;White
Weingut Schenk-Siebert;Hütt Alte Reben Riesling;Bronze;86;Germany;Pfalz;Not Applicable;2021;White
Franschhoek Cellar;Stone Bridge Pinotage;Bronze;87;South Africa;Western Cape;Not Applicable;2021;Red
Vinarte Winery;Prince Mircea Fetească Neagră;Bronze;87;Romania;Mehedinti;Not Applicable;2021;Red
Bonpas;Hospitaliers De Bonpas Organic;Bronze;88;France;Rhône;Côtes du Rhône Villages Visan;2021;Red
Bonpas;Bonus Passus;Bronze;88;France;Rhône;Châteauneuf-du-Pape;2021;Red
Bodegas Vega Del Castillo;Finca El Espartal Merlot;Bronze;87;Spain;Navarra;Not Applicable;2021;Red
Litterarii Winery;Sauvignon Blanc;Bronze;88;Croatia;Continental;Zapadna Kontinentalna Hrvatska;2021;White
Bononia Estate;Istar Riesling;Bronze;87;Bulgaria;Northern Region - Danubian Plain;PGI Danube Plain;2021;White
Montemajor;Fletris Primitivo;Bronze;88;Italy;Puglia;Puglia;2021;Red
Masseria Cuturi;Tumà;Bronze;86;Italy;Puglia;Primitivo Salento;2021;Red
Santiago Queirolo;Intipalka Reserva Cabernet Sauvignon Petit Verdot;Bronze;87;Peru;Ica;Not Applicable;2021;Red
Giesen Group;Ara Resolute Sauvignon Blanc;Bronze;87;New Zealand;Marlborough;Not Applicable;2021;White
J. Lohr;Arroyo Vista Chardonnay;Bronze;87;United States;California;Arroyo Seco;2021;White
Giesen Group;Organic Pinot Noir;Bronze;88;New Zealand;Marlborough;Not Applicable;2021;Red
Giesen Group;The August Sauvignon Blanc;Bronze;87;New Zealand;Marlborough;Not Applicable;2021;White
Saraja;Kramori;Bronze;88;Italy;Sardinia;Vermentino di Gallura Superiore;2021;White
Bodegas Mano a Mano;Venta La Ossa Joven;Bronze;88;Spain;Castilla;Not Applicable;2021;Red
Cantina Vignaioli;Vigna Benefizio;Bronze;88;Italy;Tuscany;Morellino di Scansano;2021;Red
Bárbara Eliodora;Syrah;Bronze;89;Brazil;Serra da Mantiqueira;Not Applicable;2021;Red
Thaya Vinařství;Veltlínské Zelené Slunný Vrch;Bronze;86;Czech Republic;Moravia;Znojemská;2021;White
Thaya Vinařství;Sauvignon;Bronze;86;Czech Republic;Moravia;Znojemská;2021;White
Luciano Arduini;-;Bronze;87;Italy;Veneto;Valpolicella Classico Superiore Ripasso;2021;Red
Pierre Dupond;La Renjardière;Bronze;89;France;Rhône;Côtes du Rhône;2021;Red
Tenute Ólbios;Lupus in Fabula;Bronze;86;Italy;Sardinia;Vermentino di Gallura Superiore;2021;White
Chateau De Sancerre;Terre De Silex;Bronze;87;France;Loire;Sancerre;2021;White
Le Rocche Malatestiane;Antica Marineria;Bronze;88;Italy;Emilia-Romagna;Colli di Rimini;2021;White
Oenops;-;Bronze;88;Greece;Varietal Wine;Not Applicable;2021;White
Bodegas Rodríguez Y Sanzo;La Viña De Amaya;Bronze;89;Spain;Toro;Not Applicable;2021;Red
Siddùra;Spèra;Bronze;87;Italy;Sardinia;Vermentino di Gallura;2021;White
Antiche Terre Venete;Solo Passione;Bronze;88;Italy;Veneto;Verona;2021;Red
La Colombera;Derthona;Bronze;87;Italy;Piedmont;Colli Tortonesi;2021;White
Lima Smith;Covela Reserva Organic Avesso;Bronze;88;Portugal;Vinho Verde;Baião;2021;White
Oenops Wines;Apla Red;Bronze;87;Greece;Not Applicable;Not Applicable;2021;Red
Pasal De Esile;Godello;Bronze;88;Spain;Ribeira Sacra;Not Applicable;2021;White
Concilio Cantina Di Trento;Amsela D'Oro Chardonnay;Bronze;88;Italy;Trentino-Alto Adige/Südtirol;Trentino;2021;White
Douglas Green;Vineyard Friends Pinotage;Bronze;87;South Africa;Western Cape;Not Applicable;2021;Red
Domaine De La Perruche;Les Rôtissants;Bronze;88;France;Loire;Saumur;2021;White
Dvanajščak - Kozol;Mohokos Pinot Bijeli;Bronze;86;Croatia;Continental;Zagorje - Međimurje;2021;White
Dvanajščak-Kozol;Natura Sauvignon Blanc;Bronze;86;Croatia;Continental;Zagorje - Međimurje;2021;White
Vina Belje;Graševina;Bronze;88;Croatia;Continental;Hrvatsko Podunavlje;2021;White
Cave De St Maurice;Vol au Dessus d'un Nid de Chardonnay;Bronze;88;France;Languedoc-Roussillon;IGP Cévennes;2021;White
Villa Maria;Private Bin Merlot;Bronze;89;New Zealand;Hawke's Bay;Not Applicable;2021;Red
Villa Maria;Private Bin Pinot Noir;Bronze;89;New Zealand;Marlborough;Not Applicable;2021;Red
Villa Maria;EarthGarden Rosé;Bronze;86;New Zealand;Hawke's Bay;Not Applicable;2021;Rosé
Blaauwklippen;Malbec;Bronze;89;South Africa;Stellenbosch;Not Applicable;2021;Red
Villa Maria;Single Vineyard Chardonnay;Bronze;86;New Zealand;Marlborough;Taylors Pass;2021;White
Paolo Manzone;Fiorenza;Bronze;89;Italy;Piedmont;Barbera d' Alba Superiore;2021;Red
Les Vins De Fontfroide;Ocellus;Bronze;88;France;Languedoc-Roussillon;Corbières;2021;Red
Viña Undurraga;Vigno;Bronze;88;Chile;Maule;Not Applicable;2021;Red
Viña Undurraga;T.H. Syrah;Bronze;86;Chile;Maule;Cauquenes;2021;Red
Viña Undurraga;T.H. Rarities Garnacha-Cariñena-Monastrell;Bronze;89;Chile;Maule;Cauquenes;2021;Red
Claudio Quarta;Anima Di Primitivo;Bronze;86;Italy;Puglia;Primitivo di Manduria;2021;Red
Napa Cellars;Chardonnay;Bronze;87;United States;California;Napa County;2021;White
Joel Gott;Pinot Noir;Bronze;89;United States;Oregon;Willamette Valley;2021;Red
Seaglass;Pinot Noir;Bronze;88;United States;California;Central California Coast;2021;Red
Seaglass;Pinot Grigio;Bronze;87;United States;California;Central California Coast;2021;White
Seaglass;Sauvignon Blanc;Bronze;86;United States;California;Central Coast;2021;White
Ovens Farm Vineyard;Bacchus;Bronze;87;United Kingdom;Lincolnshire;Not Applicable;2021;White
Panizzi;Vigna Santa Margherita;Bronze;88;Italy;Tuscany;Vernaccia di San Gimignano;2021;White
Siddùra;Maìa;Bronze;87;Italy;Sardinia;Vermentino di Gallura Superiore;2021;White
Delas Frères;Les Challeys;Bronze;87;France;Rhône;Saint-Joseph;2021;White
Delas Frères;Saint-Esprit;Bronze;86;France;Rhône;Côtes du Rhône;2021;Red
La Châsse Du Pape;-;Bronze;89;France;Rhône;Châteauneuf-du-Pape;2021;Red
Guidi 1929;-;Bronze;88;Italy;Tuscany;Chianti Classico;2021;Red
Vino Krajnc;Šipon;Bronze;89;Slovenia;Podravje;Ljutomer-Ormož;2021;White
Vino Krajnc;Sauvignon;Bronze;87;Slovenia;Podravje;Štajerska Slovenija;2021;White
Paolo Manzone;Mirine';Bronze;88;Italy;Piedmont;Nebbiolo d'Alba;2021;Red
Albet I Noya;El Bosc Negre;Bronze;86;Spain;Penedès;Penedès;2021;White
Castello Sonnino;-;Bronze;88;Italy;Tuscany;Chianti Montespertoli;2021;Red
Kaznionica U Lepoglavi;Graševina;Bronze;88;Croatia;Continental;Zagorje - Međimurje;2021;White
Quinta Nova De Nossa Senhora Do Carmo;Unoaked;Bronze;89;Portugal;Douro;Not Applicable;2021;Red
Quinta Nova De Nossa Senhora Do Carmo;Grainha Reserva;Bronze;87;Portugal;Douro;Not Applicable;2021;Red
Dom Brial;Les Petits Pins;Bronze;89;France;Languedoc-Roussillon;Côtes du Roussillon Villages;2021;Red
Marramiero;Altare;Bronze;89;Italy;Abruzzo;Trebbiano d'Abruzzo;2021;White
Le Roc Des Dentelles;-;Bronze;88;France;Rhône;Gigondas;2021;Red
Almagyar Érseki Szőlőbirtok;Archbishop's Noir Kadarka;Bronze;87;Hungary;Eger;Eger;2021;Red
Almagyar Érseki Szőlőbirtok;Vulcanic Noir;Bronze;88;Hungary;Eger;Eger;2021;Red
Almagyar Érseki Szőlőbirtok;Érseki Titokbor Grand Superior Egri Kadarka;Bronze;86;Hungary;Eger;Eger;2021;Red
Ca' De Lion Ghione;Le Muccie;Bronze;87;Italy;Piedmont;Barbera d'Asti Superiore;2021;Red
Santo Wines;Selection Cuvée;Bronze;89;Greece;Aegean Islands;Santorini;2021;White
Gabriel Meffre;Saint Théodoric;Bronze;89;France;Rhône;Châteauneuf-du-Pape;2021;Red
Gabriel Meffre;Sainte Catherine;Bronze;88;France;Rhône;Gigondas;2021;Red
Gabriel Meffre;Laurus;Bronze;89;France;Rhône;Gigondas;2021;Red
Vinarija Matela;Babica Kaštelanska Esenca;Bronze;87;Croatia;Coastal;Srednja i Južna Dalmacija;2021;Red
Agrcola I Lecci Di Giannoni Barbara;Fontetinta;Bronze;88;Italy;Tuscany;Morellino di Scansano;2021;Red
Weightstone;Musann Blanc;Bronze;86;Taiwan (Greater China);Not Applicable;Not Applicable;2021;White
Clos D'agon;Valmaña;Bronze;89;Spain;Catalunya;Not Applicable;2021;White
Telavi Wine Cellar;Marani Mtsvane-Kisi;Bronze;87;Georgia;Kakheti;Kondoli;2021;White
Telavi Wine Cellar;Marani;Bronze;87;Georgia;Kakheti;Mukuzani;2021;Red
Mystic Island Winery;Yihu Reserve Petit Verdot;Bronze;86;China (Mainland);Shandong;Penglai;2021;Red
Mystic Island Winery;Yihu Reserve Chardonnay;Bronze;88;China (Mainland);Shandong;Penglai;2021;White
Telavi Wine Cellar;Marani Saperavi;Bronze;86;Georgia;Kakheti;Kondoli;2021;Red
Manser;100 Year Old Vines Reserve Grenache;Bronze;89;Australia;South Australia;McLaren Vale;2021;Red
Famille Arnaud;Sextus Pompée;Bronze;87;France;Rhône;Côtes du Rhône;2021;Red
Chateau Jinfulan;Sheng Wei Lan Cabernet Sauvignon;Bronze;86;China (Mainland);Ningxia;Helan Mountain East;2021;Red
Famille Arnaud;Mademoiselle Joséphine;Bronze;87;France;Rhône;Côtes du Rhône Villages Laudun;2021;White
Famille Arnaud;Le Quart Du Roi Clairette-Grenache Blanc;Bronze;87;France;Rhône;Côtes du Rhône Villages Laudun;2021;White
Famille Arnaud;Le Quart Du Roi;Bronze;88;France;Rhône;Côtes du Rhône Villages Laudun;2021;Red
Famille Arnaud;Sextus Pompée;Bronze;89;France;Rhône;Côtes du Rhône Villages Laudun;2021;Red
St Andrea;Áldás Superior;Bronze;88;Hungary;Eger;Egri Bikavér;2021;Red
Ramón Bilbao;Tempranillo;Bronze;86;Spain;Rioja;Not Applicable;2021;Red
Zilzie Wines;Platinum Edition Grenache;Bronze;88;Australia;South Australia;Barossa;2021;Red
Figula Winery;Olasz & Furmint;Bronze;86;Hungary;Balaton;Balatonfüred-Csopak;2021;White
Szijjártó Előd;Chardonnay;Bronze;88;Hungary;Dunántúl;Etyek-Buda;2021;White
Chateau Summer Land;Marselan;Bronze;87;China (Mainland);Gansu;Wuwei;2021;Red
United Winery;Uni A1 Cabernet Sauvignon;Bronze;89;China (Mainland);Ningxia;Helan Mountain East;2021;Red
United Winery;Mémoire N7 Cabernet Sauvignon;Bronze;87;China (Mainland);Ningxia;Helan Mountain East;2021;Red
United Winery;King's Vino M12 Reserve;Bronze;88;China (Mainland);Ningxia;Helan Mountain East;2021;Red
Jericho Wines;Bracken Vineyard Grenache;Bronze;89;Australia;South Australia;McLaren Vale;2021;Red
Calabria Bros;Old Vine Shiraz;Bronze;89;Australia;South Australia;Barossa Valley;2021;Red
Ryder Estate;Chardonnay;Bronze;87;United States;California;Not Applicable;2021;White
Bisquertt;La Joya Cabernet Sauvignon;Bronze;89;Chile;Colchagua;Marchigue;2021;Red
Uko Wines;Select Vineyards Reserva Cabernet Sauvignon;Bronze;88;Argentina;Mendoza;Uco Valley;2021;Red
Uko Wines;Select Vineyards Malbec;Bronze;89;Argentina;Mendoza;Uco Valley;2021;Red
Graffigna;Elixio Insigne Cabernet Sauvignon;Bronze;86;Argentina;Not Applicable;Not Applicable;2021;Red
Graffigna;Glorious Selection Malbec;Bronze;89;Argentina;Mendoza;Uco Valley;2021;Red
Graffigna;Glorious Selection Cabernet Sauvignon;Bronze;88;Argentina;Mendoza;Uco Valley;2021;Red
Scheid Family Wines;District 7 Pinot Noir;Bronze;89;United States;California;Monterey;2021;Red
Scheid Family Wines;Metz Road Chardonnay;Bronze;86;United States;California;Monterey;2021;White
Oak Valley Estates;Groenlandberg Chardonnay;Bronze;89;South Africa;Elgin;Not Applicable;2021;White
Oak Valley Estates;Groenlandberg Pinot Noir;Bronze;88;South Africa;Elgin;Not Applicable;2021;Red
Leo & Niné Wines;Compartir Roble;Bronze;87;Spain;Somontano;Not Applicable;2021;Red
The Co-Operative;Irresistible Cabernet Sauvignon;Bronze;87;Chile;Maipó Valley;Not Applicable;2021;Red
The Co-Operative;Irresistible Carménère;Bronze;88;Chile;Maipó Valley;Not Applicable;2021;Red
Bodega La Melonera;La Encina Del Inglés;Bronze;89;Spain;Sierras de Málaga;Not Applicable;2021;Red
Domaine Du Bon Remède;Vignes Rousses;Bronze;88;France;Rhône;Ventoux;2021;Red
Domaine Du Bon Remède;La Grange Delay;Bronze;86;France;Rhône;Ventoux;2021;Red
Kuzubag Tarim;Haziran;Bronze;88;Turkey;Mid-Southern Anatolia;Not Applicable;2021;Red
The Co-Operative;Fairtrade Irresistible Organic Malbec;Bronze;87;Argentina;La Rioja;Famatina Valley;2021;Red
Château De Manissy;Trinité;Bronze;89;France;Rhône;Châteauneuf-du-Pape;2021;Red
Primaia Agricola;Primula Veris;Bronze;86;Italy;Tuscany;Toscana;2021;White
Bastian;Malvazija Istarska;Bronze;87;Croatia;Coastal;Hrvatska Istra;2021;White
Metlika;Rosé;Bronze;88;Slovenia;Posavje;Bela Krajina;2021;Rosé
Filodivino;Matto;Bronze;89;Italy;Le Marche;Verdicchio dei Castelli di Jesi Classico Superiore;2021;White
Vinigma;Nanumy Sauvignon Blanc;Bronze;87;Switzerland;Valais;Wallis;2021;White
Maison Castel;-;Bronze;87;France;Rhône;Châteauneuf-du-Pape;2021;Red
Maison Castel;Grande Réserve Pinot Noir;Bronze;86;France;Languedoc-Roussillon;IGP Pays d'Oc;2021;Red
Jasci & Marchesani;-;Bronze;87;Italy;Abruzzo;Montepulciano d'Abruzzo;2021;Red
Novak Winery;Floricica;Bronze;86;Moldova;Comrat;Comrat;2021;White
Kilikanoon;Mort's Block Watervale Riesling;Bronze;89;Australia;South Australia;Clare Valley;2021;White
Cantine Torrevento;Ghenos Primitivo;Bronze;87;Italy;Puglia;Primitivo di Manduria;2021;Red
Bielsa Ruano;Músic De Carrer Garnatxa Blanca;Bronze;88;Spain;Terra Alta;Not Applicable;2021;White
Bielsa Ruano;Músic De Carrer Garnatxa Negra;Bronze;86;Spain;Terra Alta;Not Applicable;2021;Red
Cave De Tain;Les Hauts D'eole;Bronze;87;France;Rhône;Crozes-Hermitage;2021;White
Domaine Deleuze-Rochetin;Babel;Bronze;87;France;Rhône;Duché d'Uzès;2021;Red
Mancura;Guardian Reserva Cinsault;Bronze;86;Chile;Maule;Not Applicable;2021;Red
Mancura;Guardian Reserva País;Bronze;87;Chile;Maule;Not Applicable;2021;Red
Vornic;Riesling De Rhein;Bronze;86;Moldova;Codru;Not Applicable;2021;White
Viña Morande;Vitis Unica Chardonnay;Bronze;89;Chile;Casablanca Valley;Not Applicable;2021;White
Tenuta Di Collalbrigo;Pinot Grigio;Bronze;86;Italy;Veneto;Delle Venezie;2021;White
Bodega Inurrieta;Norte Roble;Bronze;86;Spain;Navarra;Not Applicable;2021;Red
Bodega Inurrieta;Sur Roble;Bronze;88;Spain;Navarra;Not Applicable;2021;Red
Bodega Inurrieta;Mimao Garnacha;Bronze;88;Spain;Navarra;Not Applicable;2021;Red
Domaine De Belle Mare;Patience;Bronze;89;France;Languedoc-Roussillon;Picpoul de Pinet;2021;White
Domaine De Belle Mare;Le Rivage;Bronze;87;France;Languedoc-Roussillon;IGP Pays d'Oc;2021;White
Centovignali;Serviano Primitivo;Bronze;88;Italy;Puglia;Puglia;2021;Red
Frešer;Sauvignon Blanc;Bronze;86;Slovenia;Podravje;Štajerska Slovenija;2021;White
Château Ollieux Romanis;Cuvée Or;Bronze;87;France;Languedoc-Roussillon;Corbières-Boutenac;2021;Red
Château Ollieux Romanis;Cuvée Prestige;Bronze;89;France;Languedoc-Roussillon;Corbières-Boutenac;2021;Red
Aya Estate Vineyards;Colorito Chardonnay-Viognier-Marsanne;Bronze;87;Bulgaria;Eastern Region - Black Sea;Not Applicable;2021;White
Aya Estate Vineyards;Colorito Shiroka Melnishka Loza-Pinot Noir;Bronze;88;Bulgaria;South Western Region - Struma River Valley;Harsovo;2021;Red
Aya Estate Vineyards;Colorito Rosé;Bronze;86;Bulgaria;Southern Region - Thracian Lowland;Thracian Valley;2021;Rosé
Jacob's Creek;Reserve Chardonnay;Bronze;88;Australia;Cross-Regional Blend;Not Applicable;2021;White
Martinborough Vineyard;Te Tera Pinot Noir;Bronze;89;New Zealand;Wairarapa;Martinborough;2021;Red
Shidai;Gold Period Killer Whale;Bronze;87;China (Mainland);Shandong;Penglai;2021;Red
Freixenet;Cabernet Sauvignon;Bronze;89;Spain;Vinos de España;Not Applicable;2021;Red
Domeniile Davidescu;Feteasca Neagră-Malbec;Bronze;88;Moldova;Not Applicable;Not Applicable;2021;Red
Tornai Pincészet;Furmint;Bronze;88;Hungary;Balaton;Nagy-Somlói;2021;White
Atelier;Pinot Noir;Bronze;88;United States;California;Russian River Valley;2021;Red
Viña Morande;Seleccion De Viñedos Gran Reserva Merlot;Bronze;87;Chile;Maipó Valley;Not Applicable;2021;Red
Viña Morande;Vitis Unica Cabernet Sauvignon;Bronze;89;Chile;Maipó Valley;Not Applicable;2021;Red
Cantina Barbadoro;Terra;Bronze;86;Italy;Sicily;Terre Siciliane;2021;Red
Vistamar;Corte De Campo Coastal;Bronze;89;Chile;Casablanca Valley;Not Applicable;2021;White
Vistamar;Gran Reserva Chardonnay;Bronze;87;Chile;Casablanca Valley;Not Applicable;2021;White
Bream Creek Vineyard;Reserve Pinot Noir;Bronze;88;Australia;Tasmania;Not Applicable;2021;Red
St Hugo;Chardonnay;Bronze;88;Australia;South Australia;Eden Valley;2021;White
Viña La Rosa;La Capitana Cabernet Sauvignon;Bronze;88;Chile;Cachapoal;Peumo;2021;Red
El Coto;875M Chardonnay;Bronze;88;Spain;Rioja;Not Applicable;2021;White
El Grifo;Ariana Listen negro-syrah;Bronze;89;Spain;The Islands;Lanzarote;2021;Red
Molu Tarım Hayvancılık Gıda Ti̇c.;Vinolus Kalecik Karası;Bronze;88;Turkey;Central Anatolia;Kapadokya;2021;Red
Bouchon;Block Series Carmenere;Bronze;89;Chile;Maule;Not Applicable;2021;Red
Bouchon;Block Series Cabernet Sauvignon;Bronze;88;Chile;Maule;Not Applicable;2021;Red
Castelli Martinozzi;-;Bronze;86;Italy;Tuscany;Rosso di Montalcino;2021;Red
La Biòca;La Pipina;Bronze;89;Italy;Piedmont;Nebbiolo d'Alba;2021;Red
Château Vartely;Cameo Cuvée Blanc;Bronze;86;Moldova;Codru;Not Applicable;2021;White
Alde Gott Winzer;Ausblick Grauburgunder;Bronze;89;Germany;Baden;Spätlese;2021;White
Tinazzi;Feudo Croce Imperio;Bronze;88;Italy;Puglia;Primitivo di Manduria;2021;Red
Tinazzi;Feudo Croce;Bronze;86;Italy;Puglia;Primitivo Salento;2021;Red
Ornella Bellia;-;Bronze;89;Italy;Veneto;Lison;2021;White
Bastian;Rosé;Bronze;87;Croatia;Coastal;Hrvatska Istra;2021;Rosé
Societa' Agricola I Lecci Di Giannoni Barbara & C.;Fontetinta Vermentino;Bronze;89;Italy;Tuscany;Not Applicable;2021;White
Château Mercian;Ortum Iwade Koshu;Bronze;88;Japan;Chubu;Yamanashi;2021;White
Helan Qingxue Vineyard;Jia Bei Lan Reserve Chardonnay;Bronze;88;China (Mainland);Ningxia;Helan Mountain East;2021;White
Rosalea;Writer's Wine Cabernet Sauvignon;Bronze;88;Bulgaria;Southern Region - Thracian Lowland;Not Applicable;2021;Red
3Sapas;Drink Wine, Save the World and Become a Superhero Malbec;Bronze;86;Argentina;Mendoza;Not Applicable;2021;Red
Château Bonnet;Eden;Bronze;88;France;Bordeaux;Bordeaux;2021;Red
U Mes U;Anais;Bronze;86;Spain;Penedès;Penedès;2021;Red
Château Rouquette Sur Mer;L'Esprit Terroir;Bronze;88;France;Languedoc-Roussillon;Languedoc La Clape;2021;Red
Monte Dos Perdigões;Fidalgo Dos Perdigões Reserva;Bronze;89;Portugal;Alentejano;Not Applicable;2021;Red
Monte Dos Perdigões;Alicante Bouschet;Bronze;86;Portugal;Alentejano;Not Applicable;2021;Red
Monte Dos Perdigões;Lagar Dos Perdigões Reserva;Bronze;86;Portugal;Alentejano;Not Applicable;2021;Red
Château Los Boldos;Gran Reserva;Bronze;87;Chile;Cachapoal;Requínoa;2021;Red
Capel Vale;Whispering Hill Shiraz;Bronze;89;Australia;Western Australia;Mount Barker;2021;Red
Cantina Kurtatsch;Penon Pinot Grigio;Bronze;87;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol;2021;White
Cantina Kurtatsch;Kofl Sauvignon;Bronze;88;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol;2021;White
Ktima Biblia Chora;-;Bronze;86;Greece;Macedonia;Pangeon;2021;Red
Ktima Biblia Chora;Areti;Bronze;87;Greece;Macedonia;Pangeon;2021;White
Bava;Nebbiolo;Bronze;89;Italy;Piedmont;Langhe;2021;Red
Bava;Libera;Bronze;88;Italy;Piedmont;Barbera d'Asti;2021;Red
Tenuta La Giustiniana;Montessora;Bronze;86;Italy;Piedmont;Gavi;2021;White
Barone Di Miceli;Femina;Bronze;89;Italy;Sicily;Etna;2021;Red
Bodegas Emilio Moro;El Zarzal Godello;Bronze;86;Spain;Bierzo;Not Applicable;2021;White
Alma Cersius;Cersius;Bronze;88;France;Languedoc-Roussillon;IGP Coteaux de Béziers;2021;Red
Weingut Keringer;Heideboden;Bronze;88;Austria;Burgenland;Not applicable;2021;Red
Kuzubağ;Öküzgözü;Bronze;89;Turkey;Mid-Southern Anatolia;Not Applicable;2021;Red
Kuzubağ;Kalecik Karasi;Bronze;88;Turkey;Mid-Southern Anatolia;Not Applicable;2021;Red
Kuzubağ;Çal Karasi-Kalecik Karasi;Bronze;88;Turkey;Mid-Southern Anatolia;Not Applicable;2021;Rosé
Mulando;M365 Riesling;Bronze;88;China (Mainland);Ningxia;Helan Mountain East;2021;White
Chateau Miqin;Oak Barrel;Bronze;88;China (Mainland);Ningxia;Helan Mountain East;2021;Red
Grace Vineyard;Tasya's Reserve Chardonnay;Bronze;88;China (Mainland);Shanxi;Not Applicable;2021;White
Kuzubağ;Chardonnay;Bronze;86;Turkey;Mid-Southern Anatolia;Not Applicable;2021;White
Leopards Leap Wines;Pardus;Bronze;88;South Africa;Western Cape;Not Applicable;2021;Red
Leopards Leap Wines;Special Edition Red Blend;Bronze;89;South Africa;Western Cape;Not Applicable;2021;Red
Tenuta Polvaro;Pinot Grigio;Bronze;86;Italy;Veneto;Venezia;2021;White
Whitehall Vineyard;Pinot Gris;Bronze;87;United Kingdom;Wiltshire;Not Applicable;2021;White
Cinque Quinti;Carisa;Bronze;88;Italy;Piedmont;Barbera del Monferrato;2021;Red
Vignoble Chabrier;La Garrigue D'aureillac;Bronze;88;France;Rhône;Duché d'Uzès;2021;White
Vignoble Chabrier;La Garrigue D'Aureillac;Bronze;88;France;Rhône;Duché d'Uzès;2021;Red
Guerrieri Rizzardi;Delara Montebaldo;Bronze;88;Italy;Veneto;Bardolino;2021;Red
Vina Krapež;Malvazija;Bronze;88;Slovenia;Primorska;Vipavska Dolina;2021;Orange
Urlar;Pinot Noir;Bronze;89;New Zealand;Wairarapa;East Taratahi/Gladstone;2021;Red
Urlar;Organic Sauvignon Blanc;Bronze;88;New Zealand;Wairarapa;East Taratahi/Gladstone;2021;White
Chateau Tigerose;Classic Cabernet Sauvignon-Merlot;Bronze;88;China (Mainland);Ningxia;Helan Mountain East;2021;Red
Caves do Monte;Entre Quintas Reserva;Bronze;89;Portugal;Douro;Not Applicable;2021;Red
Durfort La Cave;Le Duché;Bronze;88;France;Rhône;Duché d'Uzès;2021;White
Weinhaus Reh Kendermann;Kalkstein Riesling;Bronze;88;Germany;Pfalz;Not Applicable;2021;White
Weinhaus Reh Kendermann;Kalkstein Sauvignon Blanc;Bronze;88;Germany;Pfalz;Not Applicable;2021;White
Weinhaus Reh Kendermann;Urmeer Pinot Gris;Bronze;87;Germany;Rheinhessen;Not Applicable;2021;White
Château Sissan;-;Bronze;88;France;Bordeaux;Cadillac Côtes de Bordeaux;2021;Red
Château Sissan;Grande Réserve;Bronze;88;France;Bordeaux;Cadillac Côtes de Bordeaux;2021;Red
Château Grimont;-;Bronze;88;France;Bordeaux;Cadillac Côtes de Bordeaux;2021;Red
Château Grimont;Cuvée Prestige;Bronze;88;France;Bordeaux;Cadillac Côtes de Bordeaux;2021;Red
Carmim;Reserva Dos Sócios;Bronze;87;Portugal;Alentejo;Reguengos;2021;Red
Carmim;Régia Colheita;Bronze;87;Portugal;Alentejo;Reguengos;2021;White
Carmim;Terraço Real;Bronze;86;Portugal;Alentejo;Not Applicable;2021;White
Carmim;Contemporal;Bronze;88;Portugal;Alentejano;Not Applicable;2021;Red
Cave De Crouseilles;Les Frondeurs;Bronze;88;France;Southwest France;Pacherenc du Vic-Bilh;2021;White
Pagos De Obanos;Orvalaiz Garnacha;Bronze;89;Spain;Navarra;Not Applicable;2021;Red
Capichera;VT;Bronze;88;Italy;Sardinia;Isola dei Nuraghi;2021;White
Capichera;-;Bronze;87;Italy;Sardinia;Isola dei Nuraghi;2021;White
Capichera;Liànti;Bronze;87;Italy;Sardinia;Isola dei Nuraghi;2021;Red
Kauzo;Cofermented Altamira-La Consulta Malbec;Bronze;87;Argentina;Mendoza;Uco Valley;2021;Red
Finca Martha;Gran Malbec;Bronze;88;Argentina;Mendoza;Not Applicable;2021;Red
Terras Altas;Entre Rios Equilíbrio Syrah;Bronze;89;Brazil;Not Applicable;Not Applicable;2021;Red
Bodega Andeluna;Del Cuartel Cabernet Franc;Bronze;89;Argentina;Mendoza;Uco Valley;2021;Red
Domaine de la Bêche;Cuvée Vieilles Vignes;Bronze;88;France;Beaujolais;Morgon;2021;Red
Valle Pradinhos;Reserva;Bronze;88;Portugal;Trasmontano;Not Applicable;2021;Red
