Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Robert Oatley;Pennant Chardonnay;Platinum;97;Australia;Western Australia;Margaret River;2020;White
Herederos Del Marqués De Riscal;Tapias;Platinum;97;Spain;Rioja;Not Applicable;2020;Red
Xanadu;Reserve Cabernet Sauvignon;Platinum;97;Australia;Western Australia;Margaret River;2020;Red
Streicker;Ironstone Block Old Vine Chardonnay;Platinum;97;Australia;Western Australia;Margaret River;2020;White
Barone Di Miceli;Femina Bianco;Platinum;97;Italy;Sicily;Etna;2022;White
Diemersdal Wine Estate;The Journal Sauvignon Blanc;Platinum;97;South Africa;Cape Town;Durbanville;2022;White
Moulin De La Roque;Natu'Roque;Platinum;97;France;Provence;Bandol;2022;Rosé
Skillogalee;Trevarrick Riesling;Platinum;97;Australia;South Australia;Clare Valley;2022;White
Bodegas De La Marquesa;Valserrano;Platinum;97;Spain;Rioja;Gran Reserva;2016;Red
Quintodecimo;Vigna Grande Cerzito;Platinum;97;Italy;Campania;Taurasi Riserva;2016;Red
Bodegas Remírez De Ganuza;-;Platinum;97;Spain;Rioja;Reserva;2012;Red
Château Sainte Roseline;Cuvée La Chapelle;Platinum;97;France;Provence;Côtes de Provence Cru Classé;2015;Red
Ilatium Morini;Due Mori;Platinum;97;Italy;Veneto;Amarone della Valpolicella Riserva;2015;Red
Tokaj-Hétszőlő;Selection;Platinum;97;Hungary;Tokaj;Not Applicable;2011;White
Cantina Terlano;Rarity Pinot Bianco;Platinum;97;Italy;Trentino-Alto Adige/Südtirol;Alto Adige Terlano;2010;White
Bodegas Cornelio Dinastía;Vega Vella;Platinum;97;Spain;Rioja;Reserva;2014;Red
Bodegas Faustino;Gran Faustino I;Platinum;97;Spain;Rioja;Gran Reserva;2004;Red
Champagne Henriot;Hemera Brut;Platinum;97;France;Champagne;Champagne;2008;White
De Saint-Gall;Orpale Grand Cru Blanc De Blanc Brut;Platinum;97;France;Champagne;Champagne;2008;White
Regi;Ekleipsis Grand Cru Brut;Platinum;97;France;Champagne;Champagne;2008;White
House of Arras;Blanc De Blancs;Platinum;97;Australia;Tasmania;Not Applicable;2014;White
Moët & Chandon;Grand Vintage Extra Brut;Platinum;97;France;Champagne;Champagne;2015;White
Legras & Haas;Blanc De Blancs Brut Grand Cru Chouilly;Platinum;97;France;Champagne;Champagne;2015;White
Pommery;Cuvée Apanage Blanc De Blancs Brut;Platinum;97;France;Champagne;Champagne;NV;White
Bisol1542;I Gondolieri Brut;Platinum;97;Italy;Veneto;Prosecco di Valdobbiadene Superiore;2022;White
Ridgeview;Rosé De Noirs Brut;Platinum;97;United Kingdom;East Sussex;Not Applicable;2018;Rosé
Peter Lehmann;Wigan Riesling;Platinum;97;Australia;South Australia;Eden Valley;2018;White
Tedeschi;Marne 180;Platinum;97;Italy;Veneto;Amarone della Valpolicella;2019;Red
Domaine Kirrenbourg;Riesling;Platinum;97;France;Alsace;Grand Cru Schlossberg;2019;White
Capurso;-;Platinum;97;Italy;Veneto;Amarone della Valpolicella;2015;Red
La Colombaia Ville Di Bagnolo;Torri Della Colombaia;Platinum;97;Italy;Tuscany;Vin Santo del Chianti;2009;White
Dr Loosen;Wehlener Sonnenuhr Riesling;Platinum;97;Germany;Mosel;Trockenbeerenauslese;2013;White
De Bortoli;Noble One Botrytis Semillon;Platinum;97;Australia;New South Wales;Not Applicable;2019;White
Gizella;Szamorodni;Platinum;97;Hungary;Tokaj;Not Applicable;2019;White
Weingut Hans Wirsching;Iphöfer Julius-Echter-Berg Rieslaner;Platinum;97;Germany;Franken;Trockenbeerenauslese;2021;White
Weingut Hans Wirsching;Iphöfer Julius-Echter-Berg Riesling;Platinum;97;Germany;Franken;Trockenbeerenauslese;2021;White
Weingut Korrell;Kreuznacher Paradies Riesling;Platinum;97;Germany;Nahe;Eiswein;2021;White
Domaine Des Petits Quarts;Clos Des Melleresses;Platinum;97;France;Loire;Bonnezeaux;2021;White
Shabo;Limited Edition Muscat Ottonel;Platinum;97;Ukraine;Odessa;Not Applicable;2016;White
Casa Ermelinda Freitas;Superior;Platinum;97;Portugal;Setúbal;Moscatel Roxo de Setúbal;2010;White
Justino's Madeira;Frasqueira;Platinum;97;Portugal;Madeira;Not Applicable;1999;White
Harveys;Very Old Medium 30 Years;Platinum;97;Spain;Sherry;Palo Cortado;NV;White
Lustau;30 Years Old;Platinum;97;Spain;Sherry;Palo Cortado;NV;White
Morris;Old Premium Rare Muscat;Platinum;97;Australia;Victoria;Rutherglen;NV;Red
Sandeman;-;Platinum;97;Portugal;Port;40 Year Old Tawny;NV;Red
Gonzalez Byass;Tio Pepe Cuatro Palmas;Platinum;97;Spain;Sherry;Amontillado;NV;White
Gonzalez Byass;Tio Pepe Tres Palmas;Platinum;97;Spain;Sherry;Fino;NV;White
Mount Pleasant;Cellar Aged Single Vineyard Lovedale Semillon;Gold;95;Australia;New South Wales;Hunter Valley;2017;White
Moretti Omero;Vignalunga;Gold;96;Italy;Umbria;Sagrantino di Montefalco;2017;Red
Herdade Monte Da Cal;Vinha De Saturno;Gold;95;Portugal;Alentejano;Not Applicable;2017;Red
Castello Di Radda;Vigna Il Corno;Gold;96;Italy;Tuscany;Chianti Classico Gran Selezione;2017;Red
Ridolfi;Mercatale;Gold;95;Italy;Tuscany;Brunello di Montalcino Riserva;2017;Red
Allegrini;La Poja Corvina;Gold;95;Italy;Veneto;Verona;2017;Red
